,True Pressure,Strain Pressure
0,-0.021308160270867155,0.011091852288623378
1,-0.021312963846640415,0.01108137532271851
2,-0.02132384354274104,0.011069799896705592
3,-0.02134112201987448,0.01105713776181721
4,-0.021365107119147506,0.011043401483752345
5,-0.02139609078715722,0.011028604382284583
6,-0.021434348100417278,0.011012760480504851
7,-0.02148013633029508,0.010995884457212958
8,-0.021533694071226503,0.010977991588044205
9,-0.021595240512581326,0.010959097666029196
10,-0.021664974934824943,0.010939218908397807
11,-0.021743076477171233,0.0109183718690482
12,-0.02182970420032057,0.010896573372887705
13,-0.02192499744900836,0.010873840472660231
14,-0.022029076485812274,0.010850190417870068
15,-0.022142043348816892,0.010825640627299201
16,-0.022263982885928693,0.010800208664058905
17,-0.022394963923731,0.010773912215431402
18,-0.022535040567147474,0.010746769077386024
19,-0.02268425367445495,0.010718797141578983
20,-0.022842632528271428,0.010690014384811458
21,-0.0230101966515045,0.010660438864788999
22,-0.023186957683805215,0.010630088725884123
23,-0.023372921243781583,0.010598982213882686
24,-0.02356808872614781,0.010567137695195013
25,-0.023772459006973085,0.010534573677039494
26,-0.023986030020494917,0.010501308825496864
27,-0.024208800118104973,0.01046736197805491
28,-0.024440769100755877,0.010432752151822176
29,-0.024681938901991232,0.010397498554926679
30,-0.024932314008806883,0.010361620605763166
31,-0.02519190170250686,0.010325137953834706
32,-0.025460712100820737,0.010288070490757325
33,-0.02573875792005742,0.010250438345918152
34,-0.02602605391411293,0.010212261868178963
35,-0.026322616033190235,0.01017356159626773
36,-0.026628460388014932,0.010134358221477121
37,-0.02694360206671048,0.010094672549289216
38,-0.02726805379867081,0.010054525464402159
39,-0.027601824488378973,0.010013937894245655
40,-0.027944917699564142,0.009972930761687041
41,-0.028297330117279043,0.009931524925272172
42,-0.028659049924400007,0.009889741114119449
43,-0.029030055081678136,0.009847599864465989
44,-0.029410311625155047,0.009805121462670518
45,-0.02979977210909937,0.009762325900218716
46,-0.030198374246118848,0.009719232844310009
47,-0.030606039733940826,0.009675861620450428
48,-0.031022673244189905,0.009632231198895646
49,-0.0314481615678857,0.009588360178964668
50,-0.03188237292689293,0.009544266769582865
51,-0.03232515646558673,0.009499968766831632
52,-0.032776341946776436,0.009455483526736868
53,-0.03323573965700877,0.00941082792841931
54,-0.033703140492970934,0.00936601832725975
55,-0.03417831622017607,0.009321070506976052
56,-0.03466101995283459,0.009275999642603602
57,-0.0351509869423762,0.009230820282506118
58,-0.03564793574811764,0.009185546354413016
59,-0.03615156978236354,0.009140191198201964
60,-0.03666157911239032,0.00909476762326473
61,-0.037177642339666916,0.009049287981197831
62,-0.037699428415119765,0.009003764241403405
63,-0.038226598369101375,0.008958208063443648
64,-0.03875880703058457,0.008912630868560137
65,-0.039295704776497534,0.008867043913680393
66,-0.03983693923711659,0.008821458366411418
67,-0.040382156873757305,0.008775885375622678
68,-0.040931004479235686,0.008730336133233338
69,-0.041483130723322936,0.008684821928610033
70,-0.04203818776486214,0.008639354200893146
71,-0.04259583283236154,0.008593944589920384
72,-0.04315572967961319,0.008548604980755105
73,-0.043717549880353465,0.008503347538847633
74,-0.04428097392097409,0.008458184736429798
75,-0.044845692045344596,0.008413129368060235
76,-0.04541140487266705,0.008368194550505107
77,-0.04597782383780266,0.008323393706509485
78,-0.04654467144584937,0.008278740537762966
79,-0.04711168130370168,0.008234248994253702
80,-0.04767859790553303,0.00818993324617112
81,-0.048245176148899865,0.008145807661202535
82,-0.04881118058180922,0.008101886785683545
83,-0.04937638443359288,0.008058185325907486
84,-0.04994056850626469,0.008014718124651998
85,-0.050503520017126935,0.007971500125218722
86,-0.051065031488257626,0.00792854631625826
87,-0.05162489970177847,0.00788587166079674
88,-0.05218292463912873,0.007843491021853251
89,-0.052738908346547375,0.007801419093646396
90,-0.05329265378880253,0.007759670336748591
91,-0.05384396379630452,0.007718258908905783
92,-0.05439264013889361,0.007677198583692026
93,-0.054938482716626255,0.00763650265252335
94,-0.05548128892025189,0.007596183808877659
95,-0.056020853271826834,0.007556254019962671
96,-0.05655696741301702,0.00751672439962388
97,-0.05708942042745822,0.007477605097094289
98,-0.05761799944549277,0.00743890520854876
99,-0.05814249047031948,0.007400632712077565
100,-0.0586626793695616,0.007362794423042407
101,-0.05917835300042404,0.007325395965274182
102,-0.059689300431910175,0.007288441758145054
103,-0.060195314213312354,0.0072519350247966475
104,-0.060696191695741586,0.007215877820313207
105,-0.06119173646626508,0.007180271068694172
106,-0.061681759887195764,0.007145114600260553
107,-0.06216608263722584,0.007110407190435086
108,-0.06264453616070843,0.007076146601392844
109,-0.06311696399841776,0.007042329626611247
110,-0.06358322299693069,0.00700895214418327
111,-0.06404318439847886,0.006976009189508098
112,-0.06449673483211425,0.006943495051498584
113,-0.06494377719339257,0.0069114033849160825
114,-0.06538423130367753,0.006879727325977026
115,-0.06581803421602632,0.006848459602048665
116,-0.0662451401348789,0.0068175926334853865
117,-0.0666655199883584,0.006787118630215764
118,-0.06707916065321583,0.006757029686684718
119,-0.06748606380815349,0.0067273178778585125
120,-0.06788624442440744,0.00669797535608658
121,-0.06827972892128886,0.006668994443820314
122,-0.068666553047627,0.006640367713591954
123,-0.06904675959765703,0.006612088047419391
124,-0.06942039604583214,0.0065841486723760365
125,-0.06978751212730408,0.006556543174769601
126,-0.07014815737647027,0.00652926549926361
127,-0.0705023786405981,0.006502309939542968
128,-0.07085021760483944,0.006475671126007855
129,-0.07119170841277805,0.006449344015521046
130,-0.07152687547645059,0.006423323884940333
131,-0.0718557314979204,0.006397606322890349
